@timestamp,agent.id,agent.name,rule.id,rule.description,rule.level,rule.groups,decoder.name,location,full_log,data.audit.id
"Apr 11, 2026 @ 12:21:56.342",3,VM,80730,Auditd: SELinux permission check.,3,"audit, audit_selinux",auditd,/var/log/audit/audit.log,"type=AVC msg=audit(1775890313.119:3558696): apparmor=""DENIED"" operation=""symlink"" class=""file"" profile=""snap.firefox.firefox"" name=""/dev/char/195:254"" pid=9634 comm=""CanvasRenderer"" requested_mask=""c"" denied_mask=""c"" fsuid=1000 ouid=1000FSUID=""diat"" OUID=""diat"" type=SYSCALL msg=audit(1775890313.119:3558696): arch=c000003e syscall=88 success=no exit=-13 a0=70f19fafaf80 a1=70f19fafaf00 a2=0 a3=0 items=2 ppid=8313 pid=9634 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=4 comm=""CanvasRenderer"" exe=""/snap/firefox/7967/usr/lib/firefox/firefox"" subj=snap.firefox.firefox key=(null)ARCH=x86_64 SYSCALL=symlink AUID=""diat"" UID=""diat"" GID=""diat"" EUID=""diat"" SUID=""diat"" FSUID=""diat"" EGID=""diat"" SGID=""diat"" FSGID=""diat"" type=CWD msg=audit(1775890313.119:3558696): cwd=""/home/diat"" type=PATH msg=audit(1775890313.119:3558696): item=0 name=""/dev/char/"" inode=166 dev=00:06 mode=040755 ouid=0 ogid=0 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root"" type=PATH msg=audit(1775890313.119:3558696): item=1 name=""../nvidia-modeset"" nametype=UNKNOWN cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0 type=PROCTITLE msg=audit(1775890313.119:3558696): proctitle=""/snap/firefox/7967/usr/lib/firefox/firefox""",3558696
"Apr 11, 2026 @ 12:16:06.324",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:09:46.305",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 12:04:26.289",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:57:56.270",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:52:36.255",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:47:16.238",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:40:56.220",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:34:36.202",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:29:16.184",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:22:46.164",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:16:26.145",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:11:06.131",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 11:04:36.112",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:58:16.092",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:52:56.078",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:47:36.063",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:41:06.045",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:34:46.026",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:29:26.009",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:23:05.991",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:16:35.973",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:11:15.957",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 10:04:55.939",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:58:25.919",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:53:05.903",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:47:45.889",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:41:25.870",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:35:04.857",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:31:49.849",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:29:24.842",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/21f239dcab86ab3d1ad446161f99f1135bb0a97edbbcd7646f71aa75a8830e4d/diff/var/ossec/framework/python/bin/python3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:24.842",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/21f239dcab86ab3d1ad446161f99f1135bb0a97edbbcd7646f71aa75a8830e4d/diff/var/ossec/framework/python/lib/pkgconfig/python-3.9.pc' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:24.842",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/21f239dcab86ab3d1ad446161f99f1135bb0a97edbbcd7646f71aa75a8830e4d/diff/var/ossec/framework/python/lib/libpython3.9.so.1.0' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:23.841",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/a56f888ee6d023e8eee8a923337737ce606c9fa632aabd06100aa222c58e3a6a/merged/var/ossec/framework/python/lib/pkgconfig/python-3.9-embed.pc' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:23.841",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/2f1b1587d6e37ab9b00f723d0307205fac65afe47cb07d7705716c23ee931209/diff/etc/passwd' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:23.841",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/21f239dcab86ab3d1ad446161f99f1135bb0a97edbbcd7646f71aa75a8830e4d/diff/var/ossec/framework/python/bin/idle3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:23.841",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/21f239dcab86ab3d1ad446161f99f1135bb0a97edbbcd7646f71aa75a8830e4d/diff/var/ossec/framework/python/bin/pydoc3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:23.841",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/21f239dcab86ab3d1ad446161f99f1135bb0a97edbbcd7646f71aa75a8830e4d/diff/var/ossec/framework/python/bin/2to3-3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:22.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/46aa50dd9164d5d27b60fc54ea1010e2daaa3e75b6b6f75927fcdd70d5f6c6db/diff/var/ossec/framework/python/lib/pkgconfig/python-3.9-embed.pc' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:22.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/a56f888ee6d023e8eee8a923337737ce606c9fa632aabd06100aa222c58e3a6a/merged/var/ossec/framework/python/share/man/man1/python3.9.1' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:22.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/a56f888ee6d023e8eee8a923337737ce606c9fa632aabd06100aa222c58e3a6a/merged/var/ossec/framework/python/bin/idle3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:22.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/a56f888ee6d023e8eee8a923337737ce606c9fa632aabd06100aa222c58e3a6a/merged/var/ossec/framework/python/bin/pydoc3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:22.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/a56f888ee6d023e8eee8a923337737ce606c9fa632aabd06100aa222c58e3a6a/merged/var/ossec/framework/python/bin/python3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:21.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/46aa50dd9164d5d27b60fc54ea1010e2daaa3e75b6b6f75927fcdd70d5f6c6db/diff/var/ossec/framework/python/bin/pydoc3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:21.840",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/46aa50dd9164d5d27b60fc54ea1010e2daaa3e75b6b6f75927fcdd70d5f6c6db/diff/var/ossec/framework/python/bin/python3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:21.839",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/46aa50dd9164d5d27b60fc54ea1010e2daaa3e75b6b6f75927fcdd70d5f6c6db/diff/var/ossec/framework/python/share/man/man1/python3.9.1' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:21.839",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,File '/var/lib/docker/overlay2/46aa50dd9164d5d27b60fc54ea1010e2daaa3e75b6b6f75927fcdd70d5f6c6db/diff/var/ossec/framework/python/bin/idle3.9' is owned by root and has written permissions to anyone.,-
"Apr 11, 2026 @ 09:29:20.839",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,-
"Apr 11, 2026 @ 09:29:20.838",3,VM,510,Host-based anomaly detection event (rootcheck).,7,"ossec, rootcheck",rootcheck,rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,-
"Apr 11, 2026 @ 09:27:35.832",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:21:07.814",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:19:22.809",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/usr/bin/c_rehash' modified
Mode: scheduled
Changed attributes: inode,mtime
Old modification time was: '1769430691', now it is '1775563556'
Old inode was: '6048881', now it is '6031929'
",-
"Apr 11, 2026 @ 09:19:22.808",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/usr/bin/gdk-pixbuf-thumbnailer' modified
Mode: scheduled
Changed attributes: inode,mtime,md5,sha1,sha256
Old modification time was: '1751029924', now it is '1775137234'
Old inode was: '6034842', now it is '6031928'
Old md5sum was: 'eb500908850da511c56c42d5951b58c9'
New md5sum is : '81cde01d69365ba7ad840b74e30344d3'
Old sha1sum was: 'a5e53100ff89410a81a35d52802fcab5edc1f225'
New sha1sum is : '93129bd0aaccc7ae5ae99a1e0cdc4d530e0ab345'
Old sha256sum was: 'd9f888889ce04ed6df91299eaa9386f6aa834f91a4c42658add106babd8a7202'
New sha256sum is : '9f5c742ee2c698c7e1e9978105305a0d51fd82eedae25a8e4c6eaa8a355a3a44'
",-
"Apr 11, 2026 @ 09:19:15.807",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/usr/bin/openssl' modified
Mode: scheduled
Changed attributes: inode,mtime,md5,sha1,sha256
Old modification time was: '1769430691', now it is '1775563556'
Old inode was: '6048882', now it is '6031930'
Old md5sum was: 'fa9bf2a70188c75365efdcadcb14e30d'
New md5sum is : 'c756cd07a1699dca1aead8b5a6c800ae'
Old sha1sum was: '8caa3f7af9ebc4416927bb30c7d7a653bbec2c44'
New sha1sum is : 'c8598a759535b34cafb72fb0b41516e553d61d75'
Old sha256sum was: '724acbe911513d13f52bae0b8969b20336cd8618fc67898a6bf7847bf1a270ad'
New sha256sum is : '018dad9ce0561ba839b66c735b8c5e72a02d444a8057330112d6c333ee1c5acc'
",-
"Apr 11, 2026 @ 09:19:15.807",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/usr/bin/gdk-pixbuf-pixdata' modified
Mode: scheduled
Changed attributes: inode,mtime,md5,sha1,sha256
Old modification time was: '1751029924', now it is '1775137234'
Old inode was: '6034841', now it is '6031700'
Old md5sum was: '28c39e55bfe0f8c572f7c82d5db505a9'
New md5sum is : '7bafc3c0efa0e32749aae5a9fc00f4fc'
Old sha1sum was: '5d6a2d8751380519fc5394dc3ae37b84adcf527b'
New sha1sum is : 'f1e08e003c7ac7b3317dec2ae8a259c2f0187b1e'
Old sha256sum was: '7fec9cd7f00c2d6e019ad1ed82b260f4241087592bdd7414ba1618ca31ecabfe'
New sha256sum is : 'eb0522c87e1715a492414f3b5f31d8bbb0feb5f8dff4aa3934f98fc6365142ce'
",-
"Apr 11, 2026 @ 09:19:12.806",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/etc/ld.so.cache' modified
Mode: scheduled
Changed attributes: mtime
Old modification time was: '1775525198', now it is '1775867702'
",-
"Apr 11, 2026 @ 09:19:12.806",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/usr/bin/gdk-pixbuf-csource' modified
Mode: scheduled
Changed attributes: inode,mtime,md5,sha1,sha256
Old modification time was: '1751029924', now it is '1775137234'
Old inode was: '6034840', now it is '6031608'
Old md5sum was: '08dd629257791e6fd8e209393bbbf77b'
New md5sum is : '421a4ee06f729ac3bcb01d327efaad44'
Old sha1sum was: '730efe492fdc5dae7245becdcae94c1e39733c06'
New sha1sum is : 'ef6f5104d134f6b7fc4fddf95428a68b7b4d1d9f'
Old sha256sum was: '9fb3009dce9290684a4bc5a561243996e4f8dc47808a1ec7b5842dd35a177a36'
New sha256sum is : '0120fa1ceb2d0173afc63125bb4a4ba51adbde79764a23879b10d31ef2756e5f'
",-
"Apr 11, 2026 @ 09:19:11.805",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/etc/cups/subscriptions.conf.O' modified
Mode: scheduled
Changed attributes: size,inode,mtime,md5,sha1,sha256
Size changed from '698' to '547'
Old modification time was: '1775832409', now it is '1775874409'
Old inode was: '1313708', now it is '1314175'
Old md5sum was: '3fc27b7a8b53dba82830048c4bb62c70'
New md5sum is : 'e362db4d7a60f9132c696632a06cb8de'
Old sha1sum was: 'be6e4b321d82cb1e5c652a2e4c1012be1285ad3a'
New sha1sum is : 'c34dfba6580e65e0389966a6fa2e3edb7e3d1673'
Old sha256sum was: '73a1399d9674f9f982e9b63c326dcc3432962cf1043b8a6776102090f1b9e5fc'
New sha256sum is : '16b1f2a6b6777e3381eb6d8a96b5b29680e03903ba75bc64cd1d0c0218e81719'
",-
"Apr 11, 2026 @ 09:19:11.805",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/etc/cups/subscriptions.conf' modified
Mode: scheduled
Changed attributes: size,inode,mtime,md5,sha1,sha256
Size changed from '698' to '547'
Old modification time was: '1775835909', now it is '1775877909'
Old inode was: '1313715', now it is '1365157'
Old md5sum was: '716ebb84498991c8f20f4b51b9dc01c3'
New md5sum is : '8488c7eee8d6a362d3021a10348ae581'
Old sha1sum was: '5b8c3a49335c75da5860f6218be6f5b439f08044'
New sha1sum is : 'd6bbc56d2dfbef447111b9dbdf503950488fdc25'
Old sha256sum was: '3c24c73790e6066876fd716a4ce3aa648ef3d7940ca943d76ff09cd357248fc5'
New sha256sum is : '9685d4f12fa607d6102c735681cc2956386b2066a0ef6843f8fb68a390a4fe1f'
",-
"Apr 11, 2026 @ 09:19:10.805",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/etc/cups/printers.conf.O' modified
Mode: scheduled
Changed attributes: size,inode,mtime,md5,sha1,sha256
Size changed from '1868' to '480'
Old modification time was: '1775812337', now it is '1775812374'
Old inode was: '1365163', now it is '1313168'
Old md5sum was: 'e1c73697b94f69687bc561b351663d4f'
New md5sum is : 'ae5dd3f6be791c9a567ea30802d0ab13'
Old sha1sum was: 'f1ac47f2a354cce666485359a97301a5401ccdcf'
New sha1sum is : '285bdbd4add094d994724537c3cadb45e54a4eb0'
Old sha256sum was: 'cb6c4efeb5ec4990b5e1de2f8b93a4873ef740e645c4e7dfb1349693aa50c898'
New sha256sum is : '509c70e94f22e599a0917ae74697c334ebde15da9634d048c687f0deb5f0a38e'
",-
"Apr 11, 2026 @ 09:19:10.804",3,VM,550,Integrity checksum changed.,7,"ossec, syscheck, syscheck_entry_modified, syscheck_file",syscheck_integrity_changed,syscheck,"File '/etc/cups/printers.conf' modified
Mode: scheduled
Changed attributes: inode,mtime
Old modification time was: '1775812374', now it is '1775845863'
Old inode was: '1313168', now it is '1314054'
",-
"Apr 11, 2026 @ 09:15:45.795",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
"Apr 11, 2026 @ 09:09:25.776",3,VM,591,Log file rotated.,3,ossec,ossec,logcollector,ossec: File rotated (inode changed): '/var/log/audit/audit.log'.,-
